wav_id,wav_path,speaker,book,speaker_int
5022-29411-0069,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/5022/29411/5022-29411-0069.wav,5022,29411,158
8580-287364-0019,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/8580/287364/8580-287364-0019.wav,8580,287364,242
4830-25898-0023,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/4830/25898/4830-25898-0023.wav,4830,25898,154
4640-19189-0027,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/4640/19189/4640-19189-0027.wav,4640,19189,150
7367-86737-0104,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/7367/86737/7367-86737-0104.wav,7367,86737,215
5652-19215-0051,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/5652/19215/5652-19215-0051.wav,5652,19215,171
2092-145706-0040,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/2092/145706/2092-145706-0040.wav,2092,145706,89
4680-16041-0015,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/4680/16041/4680-16041-0015.wav,4680,16041,151
7505-258964-0011,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/7505/258964/7505-258964-0011.wav,7505,258964,218
6019-3185-0061,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/6019/3185/6019-3185-0061.wav,6019,3185,181
7302-86814-0048,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/7302/86814/7302-86814-0048.wav,7302,86814,213
5703-47198-0015,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/5703/47198/5703-47198-0015.wav,5703,47198,174
4267-78186-0016,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/4267/78186/4267-78186-0016.wav,4267,78186,142
4640-19188-0038,/mnt/scratch09/vnguyen/datasets/LibriSpeech/train-clean-100/4640/19188/4640-19188-0038.wav,4640,19188,150
